nucleus atompair_id para ga
H2 GUA.C1p -5.46113414466 -5.46113414466
H2 GUA.C2p 1.17993849123 1.17993849123
H2 GUA.C3p -2.00802642559 -2.00802642559
H2 GUA.C4p 3.04491844088 3.8577327747546
H2 GUA.C5p -9.19886010936 -9.19886010936
H2 GUA.P 11.5341223322 11.5341223322
H2 GUA.O5p -5.36025008063 -5.36025008063
H2 GUA.O3p 70.8349884692 70.8349884692
H2 GUA.C2 -7.36349565976 -7.36349565976
H2 GUA.C4 -8.0327985787 5.98019270930273
H2 GUA.C5 1.11125948335 1.11125948335
H2 GUA.C6 3.29992572077 3.29992572077
H2 GUA.C8 -3.87839267324 -3.87839267324
H2 GUA.N1 -0.547023548503 -0.547023548503
H2 GUA.N2 8.35498770847 8.35498770847
H2 GUA.N3 -4.09246766531 -4.09246766531
H2 GUA.N7 -10.9096339759 -10.9096339759
H2 GUA.N9 4.02422373348 4.02422373348
H2 GUA.O6 2.82493428675 2.82493428675
H2 ADE.C1p -5.43934389942 -5.43934389942
H2 ADE.C2p 7.03643407835 7.03643407835
H2 ADE.C3p 13.6097531761 13.6097531761
H2 ADE.C4p -2.24993943313 -2.24993943313
H2 ADE.C5p 13.8789137533 13.8789137533
H2 ADE.P 7.71139170047 7.71139170047
H2 ADE.O5p -31.7626125005 -31.7626125005
H2 ADE.O3p 39.5023918732 39.5023918732
H2 ADE.C2 -1.96191523492 -1.96191523492
H2 ADE.C4 -4.86346526461 -4.86346526461
H2 ADE.C5 -3.42166269582 -3.42166269582
H2 ADE.C6 10.286586097 10.286586097
H2 ADE.C8 -14.6259086489 -14.6259086489
H2 ADE.N1 5.87569946522 5.87569946522
H2 ADE.N3 1.84448378874 1.84448378874
H2 ADE.N6 2.11839966655 2.11839966655
H2 ADE.N7 -3.81308269133 -3.81308269133
H2 ADE.N9 -19.2435336057 -19.2435336057
H2 URA.C1p 4.21339339235 4.21339339235
H2 URA.C2p -2.66299578913 -2.66299578913
H2 URA.C3p 7.05506416845 7.05506416845
H2 URA.C4p 18.6329978406 18.6329978406
H2 URA.C5p -4.34814159235 -4.34814159235
H2 URA.P 10.8486757079 10.8486757079
H2 URA.O5p 29.814938725 29.814938725
H2 URA.O3p -33.2445387743 -33.2445387743
H2 URA.C2 -1.48697436872 -1.48697436872
H2 URA.C4 -0.11124084618 -0.11124084618
H2 URA.C5 -9.63916566524 -9.63916566524
H2 URA.C6 -18.4271913979 -18.4271913979
H2 URA.N1 6.08515775436 6.08515775436
H2 URA.N3 -4.40163709982 -4.40163709982
H2 URA.O4 -0.42523909654 -0.42523909654
H2 CYT.C1p 8.53170872151 8.53170872151
H2 CYT.C2p -26.9155883409 -26.9155883409
H2 CYT.C3p -9.15973565482 -9.15973565482
H2 CYT.C4p 52.7155007838 52.7155007838
H2 CYT.C5p 29.896488049 29.896488049
H2 CYT.P -34.2560535023 -34.2560535023
H2 CYT.O5p -20.5309613086 -20.5309613086
H2 CYT.O3p -11.5449767971 -11.5449767971
H2 CYT.C2 0.490358986334 0.490358986334
H2 CYT.C4 5.92594650161 5.92594650161
H2 CYT.C5 -4.8600581481 -4.8600581481
H2 CYT.C6 -13.9469618462 -13.9469618462
H2 CYT.N1 0.651819666906 0.651819666906
H2 CYT.N3 2.43450454067 2.42738977253171
H2 CYT.N4 -0.330564985395 -0.330564985395
H2 CYT.O2 -0.986902148517 -0.986902148517
